timestamp_utc,encoder,mitigation_method,evaluation_language,hellaswag_accuracy,n_test,seed
2026-06-06T06:34:29Z,xlm-roberta-base,baseline,all,0.4067,900,42
2026-06-06T06:34:29Z,xlm-roberta-base,baseline,en,0.4221,289,42
2026-06-06T06:34:29Z,xlm-roberta-base,baseline,bn,0.4182,318,42
2026-06-06T06:34:29Z,xlm-roberta-base,baseline,hi,0.3788,293,42
2026-06-06T06:34:29Z,xlm-roberta-base,sentence_debias,all,0.4111,900,42
2026-06-06T06:34:29Z,xlm-roberta-base,sentence_debias,en,0.4291,289,42
2026-06-06T06:34:29Z,xlm-roberta-base,sentence_debias,bn,0.4119,318,42
2026-06-06T06:34:29Z,xlm-roberta-base,sentence_debias,hi,0.3925,293,42
2026-06-06T06:34:29Z,xlm-roberta-base,inlp,all,0.4122,900,42
2026-06-06T06:34:29Z,xlm-roberta-base,inlp,en,0.4394,289,42
2026-06-06T06:34:29Z,xlm-roberta-base,inlp,bn,0.4151,318,42
2026-06-06T06:34:29Z,xlm-roberta-base,inlp,hi,0.3823,293,42
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,all,0.4378,900,42
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,en,0.4394,289,42
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,bn,0.4591,318,42
2026-06-06T06:44:01Z,google/muril-base-cased,baseline,hi,0.413,293,42
2026-06-06T06:44:02Z,google/muril-base-cased,sentence_debias,all,0.4356,900,42
2026-06-06T06:44:02Z,google/muril-base-cased,sentence_debias,en,0.436,289,42
2026-06-06T06:44:02Z,google/muril-base-cased,sentence_debias,bn,0.4528,318,42
2026-06-06T06:44:02Z,google/muril-base-cased,sentence_debias,hi,0.4164,293,42
2026-06-06T06:44:02Z,google/muril-base-cased,inlp,all,0.4367,900,42
2026-06-06T06:44:02Z,google/muril-base-cased,inlp,en,0.436,289,42
2026-06-06T06:44:02Z,google/muril-base-cased,inlp,bn,0.4497,318,42
2026-06-06T06:44:02Z,google/muril-base-cased,inlp,hi,0.4232,293,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,baseline,all,0.3856,900,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,baseline,en,0.3633,289,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,baseline,bn,0.3931,318,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,baseline,hi,0.3993,293,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,sentence_debias,all,0.3856,900,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,sentence_debias,en,0.3633,289,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,sentence_debias,bn,0.3962,318,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,sentence_debias,hi,0.3959,293,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,inlp,all,0.3778,900,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,inlp,en,0.3529,289,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,inlp,bn,0.3931,318,42
2026-06-06T06:56:34Z,bert-base-multilingual-cased,inlp,hi,0.3857,293,42
