timestamp_utc,encoder,mitigation_method,projection_fit_language,dataset,evaluation_language,bias_category,metric_name,metric_value,fairness_deviation,n_pairs,n_stereotypical_wins,n_anti_wins,seed
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,all,pll_bias_score,54.5156,4.5156,4263,2324,1939,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,en,all,pll_bias_score,56.8917,6.8917,1422,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,bn,all,pll_bias_score,52.3239,2.3239,1420,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,hi,all,pll_bias_score,54.3279,4.3279,1421,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,race-color,pll_bias_score,50.7734,0.7734,1487,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,socioeconomic,pll_bias_score,62.2,12.2,500,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,gender,pll_bias_score,52.1127,2.1127,639,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,disability,pll_bias_score,68.9266,18.9266,177,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,nationality,pll_bias_score,52.2581,2.2581,465,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,sexual-orientation,pll_bias_score,54.065,4.065,246,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,physical-appearance,pll_bias_score,56.4516,6.4516,186,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,religion,pll_bias_score,55.082,5.082,305,,,42
2026-06-06T06:25:50Z,xlm-roberta-base,baseline,en,crows_pairs,all,age,pll_bias_score,59.6899,9.6899,258,,,42
2026-06-06T06:28:23Z,xlm-roberta-base,sentence_debias,en,crows_pairs,all,all,pll_bias_score,54.6798,4.6798,4263,2331,1932,42
