timestamp_utc,subject_model,model_family,parameter_scale,dataset,evaluation_language,bias_category,condition,metric_name,expressed_bias_score,fairness_deviation,n_queries,n_decided,n_stereotypical_chosen,refusal_rate_percent,unparseable_rate_percent,seed
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,all,baseline,expressed_prompt_bias,53.2937,3.2937,12771,12433,6626,2.5918,0.0548,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,en,all,baseline,expressed_prompt_bias,55.1541,5.1541,4263,3958,2183,7.1546,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,bn,all,baseline,expressed_prompt_bias,52.0577,2.0577,4248,4228,2201,0.3296,0.1412,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,hi,all,baseline,expressed_prompt_bias,52.7902,2.7902,4260,4247,2242,0.2817,0.0235,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,race-color,baseline,expressed_prompt_bias,49.7778,0.2222,4461,4275,2128,4.1246,0.0448,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,socioeconomic,baseline,expressed_prompt_bias,60.1626,10.1626,1500,1476,888,1.3333,0.2667,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,gender,baseline,expressed_prompt_bias,54.9839,4.9839,1902,1866,1026,1.8927,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,disability,baseline,expressed_prompt_bias,60.6178,10.6178,531,518,314,2.4482,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,nationality,baseline,expressed_prompt_bias,51.4079,1.4079,1395,1385,712,0.6452,0.0717,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,sexual-orientation,baseline,expressed_prompt_bias,50.2086,0.2086,738,719,361,2.5745,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,physical-appearance,baseline,expressed_prompt_bias,56.5766,6.5766,558,555,314,0.5376,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,religion,baseline,expressed_prompt_bias,53.6782,3.6782,912,870,467,4.6053,0.0,42
2026-06-06T14:56:22Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,age,baseline,expressed_prompt_bias,54.0962,4.0962,774,769,416,0.646,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,all,debias_prompt,expressed_prompt_bias,52.2096,2.2096,12771,10975,5730,13.9691,0.094,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,en,all,debias_prompt,expressed_prompt_bias,51.8427,1.8427,4263,3229,1674,24.2552,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,bn,all,debias_prompt,expressed_prompt_bias,51.7797,1.7797,4248,3849,1993,9.2043,0.1883,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,hi,all,debias_prompt,expressed_prompt_bias,52.9382,2.9382,4260,3897,2063,8.4272,0.0939,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,race-color,debias_prompt,expressed_prompt_bias,49.1578,0.8422,4461,3562,1751,20.0179,0.1345,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,socioeconomic,debias_prompt,expressed_prompt_bias,59.3281,9.3281,1500,1399,830,6.6,0.1333,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,gender,debias_prompt,expressed_prompt_bias,54.3701,4.3701,1902,1659,902,12.776,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,disability,debias_prompt,expressed_prompt_bias,58.1109,8.1109,531,487,283,8.2863,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,nationality,debias_prompt,expressed_prompt_bias,49.8814,0.1186,1395,1265,631,9.1039,0.2151,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,sexual-orientation,debias_prompt,expressed_prompt_bias,52.8125,2.8125,738,640,338,13.1436,0.1355,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,physical-appearance,debias_prompt,expressed_prompt_bias,53.7143,3.7143,558,525,282,5.914,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,religion,debias_prompt,expressed_prompt_bias,46.7552,3.2448,912,678,317,25.6579,0.0,42
2026-06-06T15:45:32Z,qwen2.5-7b,Qwen2.5,7B,crows_pairs,all,age,debias_prompt,expressed_prompt_bias,52.1053,2.1053,774,760,396,1.8088,0.0,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,all,baseline,expressed_prompt_bias,52.9227,2.9227,6759,6056,3205,10.3862,0.0148,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,en,all,baseline,expressed_prompt_bias,54.0773,4.0773,2277,1864,1008,18.1379,0.0,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,bn,all,baseline,expressed_prompt_bias,52.9042,2.9042,2244,2066,1093,7.8877,0.0446,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,hi,all,baseline,expressed_prompt_bias,51.9285,1.9285,2238,2126,1104,5.0045,0.0,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,caste,baseline,expressed_prompt_bias,55.2465,5.2465,936,791,437,15.4915,0.0,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,gender,baseline,expressed_prompt_bias,56.9476,6.9476,1365,1317,750,3.5165,0.0,42
2026-06-06T16:20:04Z,qwen2.5-7b,Qwen2.5,7B,indian_bias,all,religious,baseline,expressed_prompt_bias,55.0201,5.0201,1083,747,411,31.0249,0.0,42
