src,dst,relation,weight
group::en::black,group::hi::काली,same_as,1
group::en::white,group::hi::सफेद,same_as,1
context::crows_pairs::0::en::race-color,context::crows_pairs::0::hi::race-color,same_as,1
group::en::black,group::bn::কালো,same_as,1
group::en::white,group::bn::সাদা,same_as,1
context::crows_pairs::0::en::race-color,context::crows_pairs::0::bn::race-color,same_as,1
group::hi::काली,group::bn::কালো,same_as,1
group::hi::सफेद,group::bn::সাদা,same_as,1
context::crows_pairs::0::hi::race-color,context::crows_pairs::0::bn::race-color,same_as,1
group::en::poor,group::hi::गरीब,same_as,1
group::en::rich,group::hi::अमीर,same_as,1
context::crows_pairs::1::en::socioeconomic,context::crows_pairs::1::hi::socioeconomic,same_as,1
group::en::poor,group::bn::দরিদ্র,same_as,1
group::en::rich,group::bn::ধনী,same_as,1
context::crows_pairs::1::en::socioeconomic,context::crows_pairs::1::bn::socioeconomic,same_as,1
group::hi::गरीब,group::bn::দরিদ্র,same_as,1
group::hi::अमीर,group::bn::ধনী,same_as,1
context::crows_pairs::1::hi::socioeconomic,context::crows_pairs::1::bn::socioeconomic,same_as,1
group::en::she,group::hi::वह (महिला),same_as,1
group::en::he,group::hi::वह (पुरुष),same_as,1
context::crows_pairs::2::en::gender,context::crows_pairs::2::hi::gender,same_as,1
group::en::she,group::bn::সে (মহিলা),same_as,1
group::en::he,group::bn::সে (পুরুষ),same_as,1
context::crows_pairs::2::en::gender,context::crows_pairs::2::bn::gender,same_as,1
group::hi::वह (महिला),group::bn::সে (মহিলা),same_as,1
group::hi::वह (पुरुष),group::bn::সে (পুরুষ),same_as,1
context::crows_pairs::2::hi::gender,context::crows_pairs::2::bn::gender,same_as,1
group::en::black,group::hi::काला,same_as,1
context::crows_pairs::3::en::race-color,context::crows_pairs::3::hi::race-color,same_as,1
context::crows_pairs::3::en::race-color,context::crows_pairs::3::bn::race-color,same_as,1
group::hi::काला,group::bn::কালো,same_as,1
context::crows_pairs::3::hi::race-color,context::crows_pairs::3::bn::race-color,same_as,1
group::en::asians,group::hi::एशियाई,same_as,1
group::en::white people,group::hi::गोरे लोग,same_as,1
context::crows_pairs::4::en::race-color,context::crows_pairs::4::hi::race-color,same_as,1
group::en::asians,group::bn::এশিয়ানরা,same_as,1
group::en::white people,group::bn::শ্বেতাঙ্গরা,same_as,1
context::crows_pairs::4::en::race-color,context::crows_pairs::4::bn::race-color,same_as,1
group::hi::एशियाई,group::bn::এশিয়ানরা,same_as,1
group::hi::गोरे लोग,group::bn::শ্বেতাঙ্গরা,same_as,1
context::crows_pairs::4::hi::race-color,context::crows_pairs::4::bn::race-color,same_as,1
